"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-01","0.00","0.1","0.0","31","26","26",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-02","0.01","0.2","0.0","28","24","28",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-03","0.00","0.0","0.0","37","28","32",,,,,,"    1",
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-04","0.00","0.1","0.0","32","23","23",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-05","0.02","0.6","0.0","26","7","9",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-06","0.00","0.0","0.0","30","8","13",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-07","0.00","0.0","0.0","38","13","25",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-08","0.00","0.0","0.0","46","25","28",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-09","0.31","0.0","0.0","43","28","43",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-10","0.23","0.3","0.0","49","30","30",,"    1",,"    1",,,"    1"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-11","0.29","3.1","3.0","30","10","10","0.3","    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-12","0.17","2.3","5.0","25","9","22",,"    1",,,,,"    1"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-13","0.07","0.8","5.0","22","11","11",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-14","0.08","1.1","5.0","22","11","22","0.6","    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-15","0.00","0.0","4.0","37","20","37",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-16","0.24","0.0","1.0","42","30","30",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-17","0.00","0.0","1.0","32","19","19",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-18","0.02","0.6","1.0","19","7","7",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-19","0.02","0.2","1.0","15","6","9",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-20","0.00","0.0","1.0","23","8","14",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-21","0.02","0.4","1.0","21","9","15",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-22","0.01","0.3","1.0","26","15","23",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-23","0.00","0.0","1.0","30","17","23",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-24","0.00","0.0","1.0","32","16","21",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-25","0.00","0.0","0.0","36","18","26",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-26","0.04","0.0","0.0","44","26","37",,,,,,,"    1"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-27","0.02","0.3","0.0","37","28","29",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-28","0.00","0.0","0.0","31","26","29",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-29","0.06","0.8","0.0","38","23","23",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-30","0.00","0.0","0.0","32","21","30",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-01-31","0.01","0.0","0.0","52","30","35",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-01","0.17","0.0","0.0","51","30","30",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-02","0.00","0.0","0.0","47","22","25",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-03","0.35","0.0","0.0","53","25","51",,"    1",,,,,"    1"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-04","0.03","0.3","0.0","52","31","31",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-05","0.02","0.4","0.0","33","17","19",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-06","0.00","0.1","0.0","40","19","22",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-07","0.00","0.0","0.0","39","22","29",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-08","0.00","0.0","0.0","47","29","30",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-09","0.09","1.0","1.0","43","29","30",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-10","0.06","1.1","1.0","31","18","18",,"    1",,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-11","0.02","0.3","1.0","24","8","11",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016-02-12","0.00","0.0","1.0","23","8","16",,"    1",,,,,
